Frame No,d0,d1,Lidar TTC
0,8.073,8.009,12.514
1,8.009,7.945,12.4141
2,7.945,7.889,14.0874
3,7.889,7.842,16.6851
4,7.842,7.792,15.5839
5,7.792,7.732,12.8867
6,7.732,7.668,11.9813
7,7.668,7.61,13.1207
8,7.61,7.553,13.2508
9,7.553,7.486,11.1731
10,7.486,7.426,12.3767
11,7.426,7.3455,9.12483
12,7.3455,7.273,10.0317
13,7.273,7.197,9.46977
14,7.197,7.114,8.57107
15,7.114,7.041,9.64521
16,7.041,6.969,9.67916
17,6.969,6.8865,8.34732
18,6.8865,6.81,8.90191
19,6.81,6.723,7.7276
20,6.723,6.624,6.69091
21,6.624,6.548,8.61577
22,6.548,6.467,7.98397
23,6.467,6.385,7.78661
24,6.385,6.288,6.48247
25,6.288,6.199,6.96515
26,6.199,6.108,6.71208
27,6.108,6.036,8.38333
28,6.036,5.951,7.00121
29,5.951,5.894,10.3403
30,5.894,5.835,9.88983
31,5.835,5.774,9.46559
32,5.774,5.6935,7.07262
33,5.6935,5.64,10.5421
34,5.64,5.57,7.95718
35,5.57,5.515,10.0272
36,5.515,5.435,6.79376
37,5.435,5.348,6.14713
38,5.348,5.272,6.93682
39,5.272,5.182,5.7578
40,5.182,5.098,6.06904
41,5.098,5.018,6.27251
42,5.018,4.941,6.41687
43,4.941,4.855,5.64535
44,4.855,4.79,7.36922
45,4.79,4.734,8.45361
46,4.734,4.6755,7.99227
47,4.6755,4.623,8.80575
48,4.623,4.594,15.8412
49,4.594,4.558,12.6612
50,4.558,4.533,18.1319
51,4.533,4.511,20.5047
52,4.511,4.502,50.0205
53,4.502,4.506,-112.645
54,4.506,4.508,-225.416
55,4.508,4.496,37.4664
56,4.496,4.497,-449.518
57,4.497,4.503,-75.0554
58,4.503,4.495,56.1882
59,4.495,4.496,-449.633
60,4.496,4.501,-90.0179
61,4.501,4.4975,128.518
62,4.4975,4.498,-900.094
63,4.498,4.4945,128.415
64,4.4945,4.5,-81.8206
65,4.5,4.494,74.8995
66,4.494,4.497,-149.887
67,4.497,4.496,449.418
68,4.496,4.498,-224.863
69,4.498,4.497,449.733
70,4.497,4.497,inf
71,4.497,4.5,-150.011
72,4.5,4.499,449.933
73,4.499,4.4985,899.336
74,4.4985,4.497,299.869
75,4.497,4.5,-150.011
76,77,,
